Posisi,Mitra,Bidang,Lokasi,Deskripsi,Provinsi,Kabupaten_Kota,Kecamatan,Skor_Kecocokan,Probabilitas_Diterima,Sentimen,Kategori_Sentimen,Skor_Deskripsi
Merchandise Dauky,Pt. Bersama Zatta Jaya Tbk,Merchandiser,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung tim merchandise
dalam proses perencanaan koleksi, pengelolaan data
produk, analisis tren penjualan, serta koordinasi
pengadaan barang. Posisi ini memberikan pengalaman
strategis dalam mengelola siklus produk fashion
muslim aktif dan modestwear khas brand Dauky.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.0,Netral,1
Merchandise Elzatta,Pt. Bersama Zatta Jaya Tbk,Merchandiser,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung tim merchandise
dalam proses perencanaan koleksi, pengelolaan data
produk, analisis tren penjualan, serta koordinasi
pengadaan barang. Posisi ini memberikan pengalaman
strategis dalam mengelola siklus produk fashion
muslim aktif dan modestwear khas brand Elzatta.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.0,Netral,1
General Affair Administration,Pt. Bersama Zatta Jaya Tbk,General Affair,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan membantu proses administrasi
kebutuhan operasional perusahaan, seperti
pengelolaan aset kantor, inventaris, fasilitas kerja,
serta dukungan dokumentasi kegiatan internal. Posisi
ini memberikan pemahaman praktis tentang
pengelolaan fasilitas dan administrasi umum di
lingkungan perusahaan.",Jawa Barat,Bandung,Bandung Kulon,5,20.83,0.0,Netral,0
Asset Management,Pt. Bersama Zatta Jaya Tbk,General Affair,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan membantu dalam proses
pencatatan, pemantauan, dan pengelolaan aset
perusahaan, mulai dari pendataan, penjadwalan
maintenance, hingga dokumentasi perpindahan atau
penghapusan aset. Posisi ini memberikan pemahaman
langsung mengenai pengelolaan aset tetap dalam
skala perusahaan retail.",Jawa Barat,Bandung,Bandung Kulon,6,25.0,0.0,Netral,2
DC Central,Pt. Bersama Zatta Jaya Tbk,Supply Chain,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung aktivitas operasional gudang pusat, termasuk pengelolaan stok, pengepakan, sortir barang, dan distribusi produk ke seluruh store. Posisi ini memberikan pengalaman langsung dalam pengelolaan alur logistik dan distribusi di industri retail fashion.",Jawa Barat,Bandung,Bandung Kulon,4,16.67,0.0,Netral,1
Posisi Supply Chain,Pt. Bersama Zatta Jaya Tbk,Supply Chain,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan membantu proses operasional pemenuhan pesanan online, mulai dari pengecekan stok, picking & packing barang, hingga input resi dan update status pengiriman. Posisi ini memberikan pengalaman nyata dalam pengelolaan logistik e-commerce yang cepat dan presisi.",Jawa Barat,Bandung,Bandung Kulon,7,29.17,0.0,Netral,1
Merchandise Control,Pt. Bersama Zatta Jaya Tbk,Merchandise,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan membantu proses kontrol dan
analisis pergerakan barang, termasuk monitoring stok,
distribusi produk ke toko, serta dokumentasi data
barang masuk dan keluar. Posisi ini memberikan
pemahaman praktis tentang pengelolaan rantai pasok
dan pengendalian stok produk di industri fashion
retail.",Jawa Barat,Bandung,Bandung Kulon,4,16.67,0.0,Netral,2
Marketplace Specialist,Pt. Bersama Zatta Jaya Tbk,Online Sales,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan terlibat dalam pengelolaan toko
online di berbagai platform marketplace (seperti
Shopee, Tokopedia, Lazada), termasuk input produk,
update stok dan harga, serta monitoring performa
penjualan. Posisi ini memberikan pengalaman
langsung dalam operasional digital sales di kanal
marketplace.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.0,Netral,1
Graphic Design,Pt. Bersama Zatta Jaya Tbk,Branding,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan bertanggung jawab dalam
pembuatan materi visual untuk kebutuhan promosi,
media sosial, branding, serta desain pendukung
aktivitas internal perusahaan. Posisi ini memberikan
pengalaman dalam mengembangkan desain yang
selaras dengan identitas visual brand fashion muslim.",Jawa Barat,Bandung,Bandung Kulon,5,20.83,0.0,Netral,1
Content Creator,Pt. Bersama Zatta Jaya Tbk,Branding,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan terlibat dalam proses
pembuatan konten kreatif untuk media sosial dan
platform digital lainnya, mulai dari perencanaan ide,
pengambilan gambar/video, hingga pengeditan
konten. Posisi ini memberikan pengalaman dalam
membangun engagement audiens melalui visual
storytelling yang menarik dan relevan dengan brand
fashion muslim.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.0,Netral,1
KOL Specialist,Pt. Bersama Zatta Jaya Tbk,Branding,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan membantu dalam riset, seleksi,
dan komunikasi dengan Key Opinion Leader (KOL) atau
influencer untuk mendukung kampanye brand di
media sosial. Posisi ini memberikan pengalaman dalam
membangun relasi eksternal dan mengelola kolaborasi
strategis bersama talent digital.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.0,Netral,1
Sales Administration,Pt. Bersama Zatta Jaya Tbk,Sales Operation,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan membantu proses administrasi pencatatan, pengajuan hingga pelaporan proposal kegiatan / program operasional divisi Sales Operation. Posisi ini memberikan pengalaman langsung dalam mendukung aktivitas operasional penjualan secara tertib dan efisien.",Jawa Barat,Bandung,Bandung Kulon,0,0.0,0.0,Netral,0
ICT Support,Pt. Bersama Zatta Jaya Tbk,ICT,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung aktivitas teknis
harian terkait infrastruktur IT, seperti instalasi dan
pemeliharaan perangkat, troubleshooting jaringan,
serta dukungan pengguna (user support) di lingkungan
kantor. Posisi ini memberikan pengalaman langsung
dalam penanganan kebutuhan teknologi informasi
perusahaan secara profesional.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.0,Netral,1
SOP & Business Process,Pt. Bersama Zatta Jaya Tbk,SOP & Business Process Improvement,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan membantu dalam penyusunan,
pembaruan, serta dokumentasi Standard Operating
Procedure (SOP) dan alur proses bisnis perusahaan.
Posisi ini memberikan wawasan mendalam terkait
efisiensi operasional, pemetaan proses kerja, dan
pengembangan sistem kerja yang terstruktur.",Jawa Barat,Bandung,Bandung Kulon,4,16.67,0.0,Netral,2
Content Creator Tiktok,Pt. Bersama Zatta Jaya Tbk,Online Sales,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan bertanggung jawab dalam
pembuatan konten video pendek untuk platform
TikTok, mulai dari perencanaan ide, produksi, hingga
pengeditan dan publikasi konten. Posisi ini
memberikan pengalaman langsung dalam
mengembangkan brand awareness dan engagement
melalui strategi konten yang relevan dan kreatif.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.0,Netral,1
Live Tiktok,Pt. Bersama Zatta Jaya Tbk,Online Sales,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan berperan sebagai host untuk sesi
live streaming TikTok, bertugas mempromosikan
produk secara interaktif, menjawab pertanyaan
audiens, dan membangun engagement selama siaran
berlangsung. Posisi ini memberikan pengalaman
langsung dalam dunia live commerce dan strategi
penjualan digital secara real time.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.11818181818181818,Netral,1
Quality Assurance,Pt. Bersama Zatta Jaya Tbk,Supply Chain,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan membantu proses pengecekan
kualitas produk fashion, mulai dari bahan baku, proses
produksi, hingga produk akhir sebelum distribusi.
Posisi ini memberikan pengalaman dalam memastikan
standar mutu produk sesuai dengan spesifikasi dan ekspektasi brand perusahaan.",Jawa Barat,Bandung,Bandung Kulon,7,29.17,0.0,Netral,1
Corporate Legal,Pt. Bersama Zatta Jaya Tbk,Corporate Legal,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung tim legal dalam pengelolaan dokumen hukum perusahaan, review perjanjian, serta membantu proses administrasi terkait kepatuhan dan legalitas operasional. Posisi ini
memberikan pengalaman langsung dalam praktik hukum korporasi di lingkungan bisnis yang dinamis.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.2,Netral,1
Store Audit,Pt. Bersama Zatta Jaya Tbk,Internal Audit,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan membantu proses audit
operasional toko, termasuk pemeriksaan kepatuhan
terhadap SOP, pengecekan fisik barang, serta
dokumentasi hasil temuan untuk perbaikan layanan
dan efisiensi. Posisi ini memberikan pengalaman
langsung dalam pengawasan mutu operasional retail
di berbagai titik toko.",Jawa Barat,Bandung,Bandung Kulon,7,29.17,0.0,Netral,1
Office Audit,Pt. Bersama Zatta Jaya Tbk,Internal Audit,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung proses audit
internal di lingkungan kantor pusat, termasuk
pemeriksaan administrasi, kepatuhan terhadap SOP,
serta dokumentasi hasil audit untuk perbaikan sistem
kerja dan efisiensi operasional. Posisi ini memberikan
pemahaman praktis mengenai kontrol internal dan
tata kelola administrasi perusahaan.",Jawa Barat,Bandung,Bandung Kulon,7,29.17,0.0,Netral,1
Fashion Designer Dauky,Pt. Bersama Zatta Jaya Tbk,Fashion Designer,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan terlibat dalam proses desain
koleksi busana muslim Dauky, mulai dari riset tren,
pengembangan konsep desain, hingga pembuatan
technical drawing dan spesifikasi produk. Posisi ini
memberikan pengalaman nyata dalam industri fashion
retail yang berbasis pada identitas brand muslimah
modern.",Jawa Barat,Bandung,Bandung Kulon,11,45.83,0.1,Netral,3
Community & Event Planner,Pt. Bersama Zatta Jaya Tbk,Marketing,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung perencanaan dan
pelaksanaan kegiatan komunitas serta event brand,
mulai dari riset komunitas target, penyusunan konsep
acara, hingga pelaksanaan teknis dan dokumentasi
kegiatan. Posisi ini memberikan pengalaman dalam
membangun engagement dan brand experience
melalui pendekatan komunitas.",Jawa Barat,Bandung,Bandung Kulon,7,29.17,0.0,Netral,2
Corporate Secretary,Pt. Bersama Zatta Jaya Tbk,Strategic Support,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung tugas-tugas
kesekretariatan perusahaan, seperti pengelolaan
dokumen legal & korporat, penjadwalan rapat
direksi/komisaris, serta penyusunan notulensi dan
pelaporan kepada stakeholder. Posisi ini memberikan
wawasan langsung terkait tata kelola perusahaan
terbuka dan praktik administrasi korporasi yang sesuai
regulasi.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.2,Netral,1
Corporate Communication,Pt. Bersama Zatta Jaya Tbk,Strategic Support,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan membantu aktivitas komunikasi
korporat, termasuk pembuatan konten internal dan
eksternal, penyusunan materi presentasi dan siaran
pers, serta dokumentasi kegiatan perusahaan. Posisi
ini memberikan pengalaman dalam menjaga citra dan
reputasi perusahaan melalui komunikasi strategis.",Jawa Barat,Bandung,Bandung Kulon,0,0.0,0.0,Netral,0
Corporate Designer,Pt. Bersama Zatta Jaya Tbk,Strategic Support,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan bertanggung jawab dalam
pembuatan materi visual untuk keperluan komunikasi
korporat, seperti laporan tahunan, company profile,
presentasi, hingga identitas visual event internal.
Posisi ini memberikan pengalaman dalam
menyampaikan pesan perusahaan melalui desain yang
profesional dan representatif.",Jawa Barat,Bandung,Bandung Kulon,5,20.83,0.0,Netral,1
Editor Photo & Video,Pt. Bersama Zatta Jaya Tbk,Branding,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan bertanggung jawab dalam
proses editing foto dan video untuk kebutuhan
promosi, dokumentasi kegiatan perusahaan, serta
konten digital brand. Posisi ini memberikan
pengalaman dalam mengelola materi visual agar lebih
menarik, komunikatif, dan sesuai dengan identitas
perusahaan.",Jawa Barat,Bandung,Bandung Kulon,5,20.83,0.0,Netral,1
Tenaga Ahli Visualisasi,Kementerian Pekerjaan Umum,Pengembangan Kompetensi,"Provinsi : Jawa Barat
Kabupaten/Kota : Kota Bandung
Kecamatan : Cicaheum","Penyusunan Hypermedia Materi Pembelajaran Pelatihan
Bidang Sumber Daya Air, Cipta Karya dan Prasarana
Strategis
Dalam rangka menunjang tugas dan fungsi Pusbangkom SDA
& Cipta Karya dan Prasarana Strategis, maka dilaksanakan
kegiatan Penyusunan Hypermedia Materi Pembelajaran
Pelatihan Bidang SDA & Cipta Karya dan Prasarana Strategis untuk mendukung kegiatan pembelajaran. Konsep dan
mekanisme belajar mengajar berbasis teknologi informasi
menjadi sangat penting seiring dengan semakin
berkembangnya teknologi informasi dan komunikasi yang
semakin hari semakin maju. Salah satu konsep metode
belajar yang sedang dikembangkan saat ini adalah

pembelajaran jarak jauh atau biasa dikenal dengan E-
Learning. Pengembangan E-Learning salah satunya adalah

dalam bentuk hypermedia.
Hypermedia akan menunjang pelaksanaan proses belajar
dengan meningkatkan daya serap dan partisipasi aktif peserta
atas materi yang diajarkan. Selain itu juga dapat memperluas
daya jangkau proses belajar mengajar karena hypermedia
menggunakan jaringan komputer yang tidak terbatas pada
ruang dan waktu.",Jawa Barat,Kota Bandung,Cicaheum,4,16.67,0.0,Netral,2
IT Support / System Administrator,Kementerian Pekerjaan Umum,Teknologi Informasi,"Provinsi : Jawa Barat
Kabupaten/Kota : Kota Bandung
Kecamatan : Sumur Bandung","Membantu pemeliharaan infrastruktur dan perangkat IT,
digitalisasi dan mengelola website Balai Pengembangan
Kompetensi PU Wilayah IV Bandung",Jawa Barat,Kota Bandung,Sumur Bandung,11,45.83,0.0,Netral,3
Social Media Management,Kementerian Pekerjaan Umum,Komunikasi & Media,"Provinsi : Jawa Barat
Kabupaten/Kota : Kota Bandung
Kecamatan : Sumur Bandung","Membantu membuat konten untuk berbagai platform digital di
Balai Pengembangan Kompetensi PU Wilayah IV Bandung
dengan tujuan menginformasikan kegiatan pelatihan maupun
kegiatan internal Balai kepada audiens (pegawai Kementerian
PU serta masyarakat umum) dan menganalisis pemanfaatan
media sosial yang digunakan di Balai Pengembangan
Kompetensi PU Wilayah IV Bandung.",Jawa Barat,Kota Bandung,Sumur Bandung,4,16.67,0.0,Netral,2
Quality Assurance (QA) Regulatory,Pt Agritama Sinergi Inovasi (Agavi),Food Safety and Regulatory,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Coblong
Jl. Sangkuriang Bar No.C-2, RT 01 RW 12, Cisitu Lama,
Kelurahan Dago, Kecamatan Coblong,
Kota Bandung, 40135","Posisi ini bertujuan untuk mendukung pengembangan
dan pelaksanaan sistem manajemen mutu dan
keamanan pangan (FQMS) sesuai CPPOB/GMP dan
regulasi pangan yang berlaku, termasuk pengurusan
registrasi produk serta dokumentasi yang dibutuhkan.
Kandidat yang dicari adalah mahasiswa S1 dari jurusan
terkait industri pangan yang memiliki pemahaman
terhadap standar mutu industri pangan serta mampu
bekerja secara mandiri maupun tim. Posisi ini juga
menuntut ketelitian dalam menyusun dokumen,
kemampuan analisis regulasi, serta komunikasi yang
baik untuk menjembatani isu teknis dan operasional
dengan berbagai pihak.",Jawa Barat,Bandung,Coblong,8,33.33,0.0,Netral,2
Pengembang Kurikulum & Program Pelatihan,Pt Agritama Sinergi Inovasi (Agavi),"Riset, Kebijakan, dan Pendidikan","Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Coblong
Jl. Sangkuriang Bar No.C-2, RT 01 RW 12, Cisitu Lama,
Kelurahan Dago, Kecamatan Coblong,
Kota Bandung, 40135","Sebagai intern Pengembang Kurikulum & Program
Pelatihan di AGAVI, mahasiswa akan terlibat dalam
berbagai aspek pengembangan pendidikan berbasis
industri pangan. Mereka akan membantu dalam
penyusunan kurikulum, melakukan riset kebutuhan
tenaga kerja, serta memastikan bahwa modul pelatihan
sesuai dengan standar sertifikasi dan regulasi yang
berlaku. Selain itu, intern akan berkolaborasi dengan
instruktur dan konsultan industri untuk menyusun
materi yang relevan dengan tren terkini. Mereka juga
akan berkontribusi dalam evaluasi efektivitas program
dengan menganalisis data dan memberikan
rekomendasi peningkatan kualitas pembelajaran. Tak
hanya itu, mereka juga akan mendukung strategi
pemasaran program pelatihan melalui penyusunan
materi promosi dan pengelolaan konten digital.
Program magang ini memberikan kesempatan bagi
mahasiswa untuk meningkatkan keterampilan
profesional dan memahami langsung bagaimana
pendidikan industri dikembangkan serta diterapkan
dalam sektor bisnis AGAVI.",Jawa Barat,Bandung,Coblong,11,45.83,0.0,Netral,4
Social Media Management,Pt Agritama Sinergi Inovasi (Agavi),Komunikasi & Media,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Coblong
Jl. Sangkuriang Bar No.C-2, RT 01 RW 12, Cisitu Lama,
Kelurahan Dago, Kecamatan Coblong,
Kota Bandung, 40135","Posisi magang Social Media Management bertanggung
jawab dalam mendukung perencanaan, pembuatan,
dan pengelolaan konten media sosial perusahaan.
Mahasiswa magang akan terlibat dalam menyusun
strategi komunikasi digital, merancang kalender konten,
menulis caption, serta memproduksi dan menjadwalkan
unggahan di berbagai platform seperti Instagram,
TikTok, dan website. Selain itu, peserta magang juga
akan melakukan interaksi dengan audiens, memantau
performa konten melalui tools analitik, serta membuat
laporan evaluasi secara berkala. Peran ini menuntut
kreativitas, kemampuan komunikasi digital yang baik,
serta keterampilan bekerja dalam tim lintas fungsi
seperti desain dan pemasaran.",Jawa Barat,Bandung,Coblong,5,20.83,0.011111111111111112,Netral,2
Desain Komunikasi Visual Intern,Pt Agritama Sinergi Inovasi (Agavi),Desain Komunikasi Visual,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Coblong
Jl. Sangkuriang Bar No.C-2, RT 01 RW 12, Cisitu Lama,
Kelurahan Dago, Kecamatan Coblong,
Kota Bandung, 40135","Individu yang menempati posisi ini bertanggung jawab
dalam merancang dan mengembangkan berbagai aset
visual untuk mendukung strategi pemasaran dan
komunikasi perusahaan. Mereka akan berperan dalam
menciptakan desain grafis yang menarik untuk media
sosial, materi promosi, serta kampanye branding.
Mereka juga akan terlibat dalam pengembangan
identitas visual perusahaan, memastikan bahwa setiap
elemen desain mencerminkan nilai dan visi AGAVI.
Selain itu, mereka juga akan bekerja sama dengan tim
pemasaran dan bisnis untuk memastikan bahwa desain
yang dibuat efektif dalam menyampaikan pesan kepada
target audiens. Dengan peran ini, individu akan memiliki
kesempatan untuk mengasah keterampilan desain
mereka dalam lingkungan industri yang dinamis dan
inovatif.",Jawa Barat,Bandung,Coblong,10,41.67,0.0,Netral,2
Sales and Marketing Intern,Pt Agritama Sinergi Inovasi (Agavi),Strategi & Bisnis,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Coblong
Jl. Sangkuriang Bar No.C-2, RT 01 RW 12, Cisitu Lama,
Kelurahan Dago, Kecamatan Coblong,
Kota Bandung, 40135","Kegiatan utama meliputi Prospecting & Lead Generation,
di mana calon pelanggan potensial diidentifikasi melalui
berbagai strategi pemasaran digital. Customer
Relationship Management (CRM) memastikan hubungan
dengan pelanggan tetap terjaga, meningkatkan
loyalitas dan kepuasan mereka. Negotiation & Closing
Deals bertujuan untuk menutup transaksi dengan
pendekatan yang meyakinkan dan sesuai dengan
kebutuhan pelanggan. Setelah penjualan, Follow-up &
After-Sales Service dilakukan untuk memberikan layanan
purna jual yang baik, mendorong pembelian ulang, dan
meningkatkan retensi pelanggan. Strategi penjualan
harus disesuaikan dengan unit bisnis dan layanan yang
ditawarkan, termasuk pemilihan kanal pemasaran yang
efektif. Selain itu, marketing kit seperti materi promosi,
presentasi produk, dan konten digital digunakan untuk
mendukung kampanye pemasaran serta meningkatkan
daya tarik produk.",Jawa Barat,Bandung,Coblong,3,12.5,0.0,Netral,1
Research and Development Intern,Pt Agritama Sinergi Inovasi (Agavi),Research and Development,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Coblong
Jl. Sangkuriang Bar No.C-2, RT 01 RW 12, Cisitu Lama,
Kelurahan Dago, Kecamatan Coblong,
Kota Bandung, 40135","Posisi ditujukan bagi mahasiswa dari jurusan terkait
pangan dan pertanian yang akan terlibat dalam proses
pengembangan produk mulai dari perencanaan,
improvement produk, manajemen produksi dan quality
control produk. Mahasiswa akan mempraktikkan
manajemen proyek, menerapkan metode design
thinking, serta memahami standar mutu seperti GMP,
HACCP, dan ISO 22000. Selain itu, peserta juga akan
dilatih menggunakan alat bantu seperti Business Model
Canvas, melakukan analisis data, serta memanfaatkan
tools dokumentasi dan riset pasar serta perhitungan
HPP produk. Kegiatan magang ini turut mendorong
pengembangan soft skills seperti kepemimpinan,
komunikasi, dan kerja sama tim agar mahasiswa siap
berkontribusi dalam dunia kerja di bidang R&D industri
pangan dan pertanian.",Jawa Barat,Bandung,Coblong,16,66.67,0.1,Netral,5
Marketing Communication and Sales,Pt Maleo Edukasi Teknologi,Strategi & Bisnis,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Sukasari","Marketing Communication & Sales harus merancang strategi
pemasaran dan penjualan untuk meningkatkan brand awareness serta
pencapaian target penjualan perusahaan. Posisi ini melibatkan
analisis pasar, promosi produk, membina hubungan dengan
pelanggan, serta mengembangkan strategi untuk menarik dan
mempertahankan konsumen.",Jawa Barat,Bandung,Sukasari,3,12.5,0.0,Netral,1
STEM Teacher for K-12 Students,Pt Maleo Edukasi Teknologi,Pendidikan,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Sukasari","Peserta magang akan bertugas sebagai pendidik dalam program
pembelajaran coding dan robotik bagi siswa. Mereka akan
memiliki peran penting dalam mendukung pengembangan
keterampilan teknologi dan kreativitas siswa melalui pembelajaran
interaktif dan inspiratif.",Jawa Barat,Bandung,Sukasari,5,20.83,0.0,Netral,2
ONLINE BISNIS OPERATION SUPPORT,Pt Midi Utama Indonesia Tbk,Operation,"BRANCH BOYOLALI
Dusun 1, Winong, Boyolali, Boyolali Regency, Central Java",Analisa Dan Monitoring Report Transaksi Online Di Cabang,,,,0,0.0,0.0,Netral,0
STEM Teacher for K-12 Students,Pt Maleo Edukasi Teknologi,Pendidikan,"Provinsi : Jawa Tengah
Kabupaten/Kota : Surakarta
Kecamatan : Jebres","Peserta magang akan bertugas sebagai pendidik dalam program
pembelajaran coding dan robotik bagi siswa. Mereka akan memiliki
peran penting dalam mendukung pengembangan keterampilan
teknologi dan kreativitas siswa melalui pembelajaran interaktif dan
inspiratif.",Jawa Tengah,Surakarta,Jebres,5,20.83,0.0,Netral,2
Marketing Communication and Sales,Pt Maleo Edukasi Teknologi,Strategi & Bisnis,"Provinsi : Jawa Tengah
Kabupaten/Kota : Surakarta
Kecamatan : Jebres","Marketing Communication & Sales harus merancang strategi
pemasaran dan penjualan untuk meningkatkan brand awareness serta
pencapaian target penjualan perusahaan. Posisi ini melibatkan
analisis pasar, promosi produk, membina hubungan dengan
pelanggan, serta mengembangkan strategi untuk menarik dan
mempertahankan konsumen.",Jawa Tengah,Surakarta,Jebres,3,12.5,0.0,Netral,1
STEM Teacher for K-12 Students,Pt Maleo Edukasi Teknologi,Pendidikan,"Provinsi : Jawa Tengah
Kabupaten/Kota : Semarang
Kecamatan : Semarang Selatan","Peserta magang akan bertugas sebagai pendidik dalam program
pembelajaran coding dan robotik bagi siswa. Mereka akan memiliki
peran penting dalam mendukung pengembangan keterampilan
teknologi dan kreativitas siswa melalui pembelajaran interaktif dan inspiratif.",Jawa Tengah,Semarang,Semarang Selatan,5,20.83,0.0,Netral,2
Marketing Communication and Sales,Pt Maleo Edukasi Teknologi,Strategi & Bisnis,"Provinsi : Jawa Tengah
Kabupaten/Kota : Semarang
Kecamatan : Semarang Selatan","Marketing Communication & Sales harus merancang strategi
pemasaran dan penjualan untuk meningkatkan brand awareness serta
pencapaian target penjualan perusahaan. Posisi ini melibatkan analisis
pasar, promosi produk, membina hubungan dengan pelanggan, serta
mengembangkan strategi untuk menarik dan mempertahankan
konsumen.",Jawa Tengah,Semarang,Semarang Selatan,3,12.5,0.0,Netral,1
Marketing Communication and Sales,Pt Maleo Edukasi Teknologi,Strategi & Bisnis,"Provinsi : Daerah Istimewah Yogyakarta
Kabupaten/Kota : Yogyakarta
Kecamatan : Depok","Marketing Communication & Sales harus merancang strategi
pemasaran dan penjualan untuk meningkatkan brand awareness serta
pencapaian target penjualan perusahaan. Posisi ini melibatkan
analisis pasar, promosi produk, membina hubungan dengan
pelanggan, serta mengembangkan strategi untuk menarik dan
mempertahankan konsumen.",Daerah Istimewah Yogyakarta,Yogyakarta,Depok,3,12.5,0.0,Netral,1
Business Development,Pt Widya Inovasi Indonesia (Widya Robotics),Sales,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab untuk
mengidentifikasi, mengembangkan, dan
memanfaatkan peluang yang akan menghasilkan nilai
jangka panjang bagi perusahaan.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,2,8.33,0.0,Netral,1
Business Operation,Pt Partner Impian Milenial (Schoters),Strategi & Bisnis,"Provinsi : DI Yogyakarta
Kabupaten/Kota : Yogyakarta
Kecamatan : Sleman","Dalam posisi ini, peserta magang akan terlibat langsungdalam kegiatan operasional bisnis untuk layanan B2B
Project Tutoring. Peserta akan mendapatkan
pengalaman dalam melakukan peningkatan alur
strategis operasional bisnis, menangani manajemen
proyek terkait untuk memenuhi kebutuhan bimbingan
siswa, serta mengembangkan inovasi dan efisiensi di
aspek operasional",DI Yogyakarta,Yogyakarta,Sleman,2,8.33,0.0,Netral,1
Curriculum Developer,Pt Partner Impian Milenial (Schoters),"Riset, Kebijakan, dan Pendidikan","Provinsi : DI Yogyakarta
Kabupaten/Kota : Yogyakarta
Kecamatan : Sleman","Dalam posisi ini, peserta magang akan bertanggung
jawab dalam mendukung proses belajar mengajar
program persiapan studi ke luar negeri melalui riset,
pengembangan materi pembelajaran, serta penyusunan
panduan belajar yang sesuai dengan kebutuhan siswa
dan standar institusi pendidikan internasional.",DI Yogyakarta,Yogyakarta,Sleman,8,33.33,0.0,Netral,3
